Date,Open,High,Low,Close,Volume,Market Cap
4-Jan-20,42.38,43.34,41.93,43.33,2843192897.00,2763617782.00
3-Jan-20,39.86,42.45,39.45,42.42,3260961326.00,2705193552.00
2-Jan-20,42.02,42.13,39.68,39.82,2759827139.00,2539554281.00
1-Jan-20,41.33,42.29,41.29,42.02,2782992323.00,2679229284.00
31-Dec-19,42.77,43.06,41.17,41.34,3015923778.00,2635704909.00
30-Dec-19,43.75,44.60,42.43,42.75,3330795171.00,2725146760.00
29-Dec-19,42.80,44.45,42.44,43.67,3573796558.00,2783708412.00
28-Dec-19,41.17,43.81,41.13,42.84,3260638656.00,2730585594.00
27-Dec-19,40.26,41.65,39.96,41.18,2949759036.00,2624203892.00
26-Dec-19,40.61,41.37,39.81,40.27,2848923906.00,2565795345.00
25-Dec-19,40.73,40.76,39.88,40.63,2773383486.00,2588660479.00
24-Dec-19,40.86,41.68,40.22,40.68,2860933776.00,2591459879.00
23-Dec-19,41.95,42.55,40.72,40.85,3163414128.00,2601950200.00
22-Dec-19,40.01,42.25,39.95,41.97,3141032976.00,2672823095.00
21-Dec-19,40.30,40.34,39.74,40.00,2655178488.00,2547148313.00
20-Dec-19,39.94,40.59,39.67,40.29,2778859161.00,2565522972.00
19-Dec-19,40.79,41.12,39.07,39.92,3173676635.00,2541689077.00
18-Dec-19,37.12,41.10,36.67,40.78,3845534650.00,2596036805.00
17-Dec-19,40.36,40.42,36.93,37.08,3283924746.00,2360532950.00
16-Dec-19,43.78,43.87,40.05,40.37,3046141449.00,2569728492.00
15-Dec-19,43.85,44.31,42.76,43.76,2668105124.00,2784724201.00
14-Dec-19,44.45,44.66,43.52,43.72,2721787991.00,2791200748.00
13-Dec-19,44.01,44.50,43.71,44.45,2766557274.00,2837399801.00
12-Dec-19,43.92,44.28,43.50,44.08,2740797932.00,2813611017.00
11-Dec-19,44.61,44.93,43.72,43.95,2507211954.00,2804621325.00
10-Dec-19,45.01,45.10,44.11,44.64,2349745528.00,2848915169.00
9-Dec-19,45.90,46.07,44.71,44.94,2473452708.00,2867412869.00
8-Dec-19,45.68,46.51,45.45,45.95,2266427857.00,2931804622.00
7-Dec-19,45.67,46.21,45.40,45.64,2380335463.00,2911520839.00
6-Dec-19,45.29,45.70,44.75,45.67,2585078804.00,2913078062.00
5-Dec-19,45.14,46.75,44.36,45.30,2818768679.00,2889242709.00
4-Dec-19,45.40,46.54,44.58,45.19,2951880019.00,2882011362.00
3-Dec-19,45.78,46.62,44.76,45.38,2557212174.00,2893726010.00
2-Dec-19,47.65,47.81,45.32,45.82,2680452035.00,2921144389.00
1-Dec-19,47.46,48.30,46.24,47.71,2781413686.00,3041545709.00
30-Nov-19,48.91,49.28,47.09,47.48,2678481167.00,3026175357.00
29-Nov-19,47.09,49.32,47.09,48.88,2944492393.00,3115330867.00
